      INFO | User-specified directory: ../newton
      INFO | Now in /Users/john/Documents/sigai/newton
     DEBUG | Beginning to operate on sigai.student49-keys.tgz
     DEBUG | Extracted to sigai.student49-keys
     DEBUG | 	sigai.student49_id_rsa_1.ppk -> sigai.student49.ppk
     DEBUG | 	sigai.student49_id_rsa_1 -> sigai.student49.pem
     DEBUG | 	sigai.student49_passphrase_1.txt -> sigai.student49_pass.txt
     DEBUG | 	sigai.student49_id_rsa_1.pub -> sigai.student49.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student49.pem
     DEBUG | 		writing sigai.student49.ppk
     DEBUG | 		writing sigai.student49.pem.pub
     DEBUG | 		writing sigai.student49_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student48-keys.tgz
     DEBUG | Extracted to sigai.student48-keys
     DEBUG | 	sigai.student48_id_rsa_1.ppk -> sigai.student48.ppk
     DEBUG | 	sigai.student48_passphrase_1.txt -> sigai.student48_pass.txt
     DEBUG | 	sigai.student48_id_rsa_1 -> sigai.student48.pem
     DEBUG | 	sigai.student48_id_rsa_1.pub -> sigai.student48.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student48.pem
     DEBUG | 		writing sigai.student48.ppk
     DEBUG | 		writing sigai.student48.pem.pub
     DEBUG | 		writing sigai.student48_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student34-keys.tgz
     DEBUG | Extracted to sigai.student34-keys
     DEBUG | 	sigai.student34_id_rsa_1 -> sigai.student34.pem
     DEBUG | 	sigai.student34_id_rsa_1.ppk -> sigai.student34.ppk
     DEBUG | 	sigai.student34_passphrase_1.txt -> sigai.student34_pass.txt
     DEBUG | 	sigai.student34_id_rsa_1.pub -> sigai.student34.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student34.pem
     DEBUG | 		writing sigai.student34.ppk
     DEBUG | 		writing sigai.student34.pem.pub
     DEBUG | 		writing sigai.student34_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student35-keys.tgz
     DEBUG | Extracted to sigai.student35-keys
     DEBUG | 	sigai.student35_id_rsa_1.ppk -> sigai.student35.ppk
     DEBUG | 	sigai.student35_id_rsa_1 -> sigai.student35.pem
     DEBUG | 	sigai.student35_id_rsa_1.pub -> sigai.student35.pem.pub
     DEBUG | 	sigai.student35_passphrase_1.txt -> sigai.student35_pass.txt
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student35.pem
     DEBUG | 		writing sigai.student35.ppk
     DEBUG | 		writing sigai.student35.pem.pub
     DEBUG | 		writing sigai.student35_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student43-keys.tgz
     DEBUG | Extracted to sigai.student43-keys
     DEBUG | 	sigai.student43_passphrase_1.txt -> sigai.student43_pass.txt
     DEBUG | 	sigai.student43_id_rsa_1.ppk -> sigai.student43.ppk
     DEBUG | 	sigai.student43_id_rsa_1 -> sigai.student43.pem
     DEBUG | 	sigai.student43_id_rsa_1.pub -> sigai.student43.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student43.pem
     DEBUG | 		writing sigai.student43.ppk
     DEBUG | 		writing sigai.student43.pem.pub
     DEBUG | 		writing sigai.student43_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student42-keys.tgz
     DEBUG | Extracted to sigai.student42-keys
     DEBUG | 	sigai.student42_id_rsa_1 -> sigai.student42.pem
     DEBUG | 	sigai.student42_passphrase_1.txt -> sigai.student42_pass.txt
