   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
      INFO | Successfully touch'd `/`.
      INFO | Successfully touch'd `/`.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `sp19` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
      INFO | Successfully touch'd `fa18/syllabus.yml`.
      INFO | Successfully touch'd `fa18/coordinators.yml`.
      INFO | Successfully touch'd `fa18/fa18.env.yml`.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
      INFO | Successfully touch'd `fa18/syllabus.yml`.
      INFO | Successfully touch'd `fa18/coordinators.yml`.
      INFO | Successfully touch'd `fa18/fa18.env.yml`.
      INFO | Successfully touch'd `fa18/syllabus.yml`.
      INFO | Successfully touch'd `fa18/coordinators.yml`.
      INFO | Successfully touch'd `fa18/fa18.env.yml`.
      INFO | Successfully touch'd `fa18/syllabus.yml`.
      INFO | Successfully touch'd `fa18/coordinators.yml`.
      INFO | Successfully touch'd `fa18/fa18.env.yml`.
      INFO | Successfully touch'd `fa18/jupyter_notebooks.slurm`.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
   WARNING | Uhh... looks like `fa18` already exists. Tread carefully.
